ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2022-11-07,3.4865733407862454,3.4743974344236364,3.8320258242832965,3.4865733407862454,3.4865733407862454,0.16135407011586528,0.16135407011586528,0.16135407011586528,0.16135407011586528,0.16135407011586528,0.16135407011586528,0.0,0.0,0.0,3.6479274109021107
2022-11-14,3.494550888522264,3.449945880954038,3.810553143557626,3.494550888522264,3.494550888522264,0.13191894927362854,0.13191894927362854,0.13191894927362854,0.13191894927362854,0.13191894927362854,0.13191894927362854,0.0,0.0,0.0,3.6264698377958924
2022-11-21,3.5025284362582827,3.4061041251680977,3.765048607641908,3.5025284362582827,3.5025284362582827,0.08890465856034026,0.08890465856034026,0.08890465856034026,0.08890465856034026,0.08890465856034026,0.08890465856034026,0.0,0.0,0.0,3.591433094818623
2022-11-28,3.5105059839943014,3.3744408727242035,3.7436025667689634,3.5105059839943014,3.5105059839943014,0.05274602720024491,0.05274602720024491,0.05274602720024491,0.05274602720024491,0.05274602720024491,0.05274602720024491,0.0,0.0,0.0,3.5632520111945465
2022-12-05,3.518483546506081,3.380938108390866,3.7308625613176702,3.518483546506081,3.518483546506081,0.0352159754194927,0.0352159754194927,0.0352159754194927,0.0352159754194927,0.0352159754194927,0.0352159754194927,0.0,0.0,0.0,3.553699521925574
2022-12-12,3.526461109017861,3.377641341362236,3.7255289204550146,3.526461109017861,3.526461109017861,0.03025518485624958,0.03025518485624958,0.03025518485624958,0.03025518485624958,0.03025518485624958,0.03025518485624958,0.0,0.0,0.0,3.5567162938741106
2022-12-19,3.5344386715296405,3.3900142059947314,3.7440433193666913,3.5344386715296405,3.5344386715296405,0.02167312732943731,0.02167312732943731,0.02167312732943731,0.02167312732943731,0.02167312732943731,0.02167312732943731,0.0,0.0,0.0,3.556111798859078
2022-12-26,3.5424162340414203,3.359269792789768,3.7206388364880514,3.5424162340414203,3.5424162340414203,-0.0025506037158614494,-0.0025506037158614494,-0.0025506037158614494,-0.0025506037158614494,-0.0025506037158614494,-0.0025506037158614494,0.0,0.0,0.0,3.5398656303255587
2023-01-02,3.550393796651676,3.3338018081783005,3.702954176203731,3.550393796651676,3.550393796651676,-0.043072603959543376,-0.043072603959543376,-0.043072603959543376,-0.043072603959543376,-0.043072603959543376,-0.043072603959543376,0.0,0.0,0.0,3.5073211926921326
2023-01-09,3.5583713592619315,3.3019088773336107,3.6385748309356636,3.5583713592619315,3.5583713592619315,-0.0925775230604171,-0.0925775230604171,-0.0925775230604171,-0.0925775230604171,-0.0925775230604171,-0.0925775230604171,0.0,0.0,0.0,3.4657938362015144
2023-01-16,3.566348921872187,3.23887174813423,3.5972460011993266,3.566348921872187,3.566348921872187,-0.1433576333452877,-0.1433576333452877,-0.1433576333452877,-0.1433576333452877,-0.1433576333452877,-0.1433576333452877,0.0,0.0,0.0,3.4229912885268994
2023-01-23,3.5743264844824427,3.1967630808840104,3.559989196974339,3.5743264844824427,3.5743264844824427,-0.19210516037043843,-0.19210516037043843,-0.19210516037043843,-0.19210516037043843,-0.19210516037043843,-0.19210516037043843,0.0,0.0,0.0,3.3822213241120043
2023-01-30,3.5823040470926983,3.165621388774127,3.5109220598384456,3.5823040470926983,3.5823040470926983,-0.23974497020620358,-0.23974497020620358,-0.23974497020620358,-0.23974497020620358,-0.23974497020620358,-0.23974497020620358,0.0,0.0,0.0,3.3425590768864946
2023-02-06,3.590281609748026,3.139632066218363,3.4805734988052754,3.590281609748026,3.590281609748026,-0.28730829937295166,-0.28730829937295166,-0.28730829937295166,-0.28730829937295166,-0.28730829937295166,-0.28730829937295166,0.0,0.0,0.0,3.3029733103750742
2023-02-13,3.5982591724033535,3.0859374599116274,3.430846994849117,3.5982591724033535,3.5982591724033535,-0.33018704469596033,-0.33018704469596033,-0.33018704469596033,-0.33018704469596033,-0.33018704469596033,-0.33018704469596033,0.0,0.0,0.0,3.268072127707393
2023-02-20,3.6062367350586806,3.0718591088639453,3.430144000070665,3.6062367350586806,3.6062367350586806,-0.35545839591028966,-0.35545839591028966,-0.35545839591028966,-0.35545839591028966,-0.35545839591028966,-0.35545839591028966,0.0,0.0,0.0,3.250778339148391
2023-02-27,3.614214297714008,3.0932821136470725,3.443033054128628,3.614214297714008,3.614214297714008,-0.347671005460157,-0.347671005460157,-0.347671005460157,-0.347671005460157,-0.347671005460157,-0.347671005460157,0.0,0.0,0.0,3.2665432922538513
2023-03-06,3.6221918606030297,3.1376861957430795,3.5053270780713985,3.6221918606030297,3.6221918606030297,-0.3020960516643801,-0.3020960516643801,-0.3020960516643801,-0.3020960516643801,-0.3020960516643801,-0.3020960516643801,0.0,0.0,0.0,3.3200958089386496
2023-03-13,3.630169423492051,3.2192514993015977,3.579839778705563,3.630169423492051,3.630169423492051,-0.23415964172089604,-0.23415964172089604,-0.23415964172089604,-0.23415964172089604,-0.23415964172089604,-0.23415964172089604,0.0,0.0,0.0,3.396009781771155
2023-03-20,3.6381469863810727,3.27671827752186,3.6457563621996627,3.6381469863810727,3.6381469863810727,-0.17249181177314307,-0.17249181177314307,-0.17249181177314307,-0.17249181177314307,-0.17249181177314307,-0.17249181177314307,0.0,0.0,0.0,3.46565517460793
2023-03-27,3.6461245492700947,3.342636407645352,3.687983786931273,3.6461245492700947,3.6461245492700947,-0.13746186851581926,-0.13746186851581926,-0.13746186851581926,-0.13746186851581926,-0.13746186851581926,-0.13746186851581926,0.0,0.0,0.0,3.5086626807542753
2023-04-03,3.654102111827773,3.344304881936312,3.6995678657497306,3.654102111827773,3.654102111827773,-0.12445015762804097,-0.12445015762804097,-0.12445015762804097,-0.12445015762804097,-0.12445015762804097,-0.12445015762804097,0.0,0.0,0.0,3.529651954199732
2023-04-10,3.662079674385451,3.3668904017260473,3.7237192587223467,3.662079674385451,3.662079674385451,-0.11012838870262888,-0.11012838870262888,-0.11012838870262888,-0.11012838870262888,-0.11012838870262888,-0.11012838870262888,0.0,0.0,0.0,3.551951285682822
2023-04-17,3.670057236943129,3.417440790456175,3.773331850743093,3.670057236943129,3.670057236943129,-0.07732012006372674,-0.07732012006372674,-0.07732012006372674,-0.07732012006372674,-0.07732012006372674,-0.07732012006372674,0.0,0.0,0.0,3.5927371168794022
2023-04-24,3.6780347995008076,3.474249302460149,3.821477710702991,3.6780347995008076,3.6780347995008076,-0.032960759248575514,-0.032960759248575514,-0.032960759248575514,-0.032960759248575514,-0.032960759248575514,-0.032960759248575514,0.0,0.0,0.0,3.645074040252232
2023-05-01,3.6860084681480383,3.5092689182082424,3.8736661897436635,3.6860084681480383,3.6860084681480383,0.00030202939837625786,0.00030202939837625786,0.00030202939837625786,0.00030202939837625786,0.00030202939837625786,0.00030202939837625786,0.0,0.0,0.0,3.6863104975464145
2023-05-08,3.6939821367952685,3.5194533089075994,3.8807109829497812,3.6939821367952685,3.6939821367952685,0.009395480108943359,0.009395480108943359,0.009395480108943359,0.009395480108943359,0.009395480108943359,0.009395480108943359,0.0,0.0,0.0,3.703377616904212
2023-05-15,3.7019558054424992,3.5319547907048743,3.88697932963862,3.7019558054424992,3.7019558054424992,0.004085314085101179,0.004085314085101179,0.004085314085101179,0.004085314085101179,0.004085314085101179,0.004085314085101179,0.0,0.0,0.0,3.7060411195276006
